date,open,high,low,close,volume
2017-08-21,122.54,122.981,122.5,122.77,4573436
2017-08-22,122.56,122.56,121.85,122.21,4272199
2017-08-23,122.58,122.69,122.31,122.66,2859023
2017-08-24,122.39,122.64,122.13,122.27,2914808
2017-08-25,122.77,123.02,121.29,122.745,11195955
2017-08-28,123.33,124.73,123.33,124.68,8912827
2017-08-29,125.81,125.87,124.0545,124.42,8496223
2017-08-30,124.33,124.62,124.16,124.3492,4974213
2017-08-31,124.58,125.84,124.55,125.84,9150243
2017-09-01,126.01,126.17,125.12,126.06,8334772
2017-09-05,126.65,127.78,126.57,127.46,8791531
2017-09-06,127.34,127.44,126.55,126.82,6829598
2017-09-07,127.57,128.32,127.39,128.14,7390006
2017-09-08,128.2,128.3,127.59,127.98,6040239
2017-09-11,126.74,126.94,126.045,126.17,6213219
2017-09-12,126.03,126.59,125.94,126.55,5560218
2017-09-13,126.4,126.45,125.5,125.6,5619723
2017-09-14,125.66,126.44,125.62,126.16,3755010
2017-09-15,125.99,125.99,125.41,125.52,5463765
2017-09-18,124.71,124.76,123.965,124.35,6857926
2017-09-19,124.49,124.65,124.03,124.59,4122598
2017-09-20,124.68,125.0599,123.15,123.6,9968456
2017-09-21,122.57,123.07,122.49,122.67,6735925
2017-09-22,123.03,123.39,122.9348,123.24,4659985
2017-09-25,122.78,124.66,122.71,124.54,8965635
2017-09-26,123.57,123.81,122.9,123.13,6830345
2017-09-27,122.04,122.51,121.88,121.99,5582835
2017-09-28,122.04,122.475,121.83,122.23,4713866
2017-09-29,122.29,122.3,121.55,121.601,6714751
2017-10-02,121.17,121.34,120.74,120.76,8597785
2017-10-03,120.72,121.1,120.7041,120.84,2870112
2017-10-04,121.21,121.27,120.7101,121.17,5185478
2017-10-05,121.15,121.24,120.395,120.51,4958899
2017-10-06,120.26,121.21,119.7835,121.11,7703241
2017-10-09,121.64,122.11,121.551,122.07,3863301
2017-10-10,122.61,122.97,122.36,122.39,5828818
2017-10-11,122.57,122.88,122.03,122.8,4731225
2017-10-12,122.84,123.035,122.5,122.885,2559270
2017-10-13,123.66,123.86,123.34,123.84,5326268
2017-10-16,123.82,123.97,122.57,122.98,6970391
2017-10-17,122.02,122.32,121.73,122.13,5293645
2017-10-18,121.71,121.94,121.55,121.66,3004194
2017-10-19,122.2,122.55,122.111,122.38,4433616
2017-10-20,121.68,121.98,121.39,121.601,5808931
